id,title,description,skill,role,difficulty,type,duration,provider,url,career_goal,content,verified
1,Intro to SQL: Querying and Managing Data,Learn relational database fundamentals SQL queries filtering aggregation and table joins through interactive exercises.,SQL,Data Analyst,Beginner,Course,10 hours,Khan Academy,https://www.khanacademy.org/computing/computer-programming/sql,Placement,Interactive SQL course covering SELECT WHERE ORDER BY GROUP BY HAVING JOIN operations for relational databases.,true
2,SQL for Data Science,Covers writing SQL queries filtering sorting calculating metrics and extracting data from databases for analytical workflows.,SQL,Data Analyst,Beginner,Course,20 hours,UC Davis (Coursera),https://www.coursera.org/learn/sql-for-data-science,Job,Covers relational database design SQL query optimization subqueries aggregation window functions and data analysis.,true
3,SQL Tutorial - Full Database Course for Beginners,Comprehensive video walkthrough covering relational database setup table schemas and complex queries.,SQL,Software Developer,Beginner,Video,4 hours,freeCodeCamp,https://www.youtube.com/watch?v=HXV3zeRR3h4,Job,Complete introduction to relational databases SQL syntax keys foreign keys table creation insert update delete.,true
4,SQLBolt - Interactive SQL Lessons,Hands-on browser-based interactive lessons on database queries table creation and constraints.,SQL,Data Analyst,Beginner,Practice,6 hours,SQLBolt,https://sqlbolt.com/,Internship,Interactive exercises for mastering SQL queries expressions aggregate functions joins and schema modifications.,true
5,Excel Skills for Business: Essentials,Master spreadsheet basics formatting core mathematical functions and creating professional charts for data reporting.,Excel,Data Analyst,Beginner,Course,15 hours,Macquarie University (Coursera),https://www.coursera.org/learn/excel-essentials,Job,Foundations of Microsoft Excel including cell formulas relative absolute references data formatting charting.,true
6,Microsoft Excel Tutorial for Beginners - Full Course,Step-by-step introduction to Excel formulas VLOOKUP XLOOKUP PivotTables and dashboard creation.,Excel,Business Analyst,Beginner,Video,3.5 hours,freeCodeCamp,https://www.youtube.com/watch?v=Vl0H-qTclOg,Placement,Covers spreadsheet navigation data cleansing lookup functions logical operators Pivot Tables charts.,true
7,Microsoft Excel Official Video Training,Official Microsoft tutorials covering formulas conditional formatting PivotTables and spreadsheet collaboration.,Excel,Business Analyst,Beginner,Tutorial,8 hours,Microsoft Support,https://support.microsoft.com/en-us/office/excel-video-training-9bc05390-e94c-46af-972e-aa76ec9b3f9f,Certification,Comprehensive short modules covering Excel formulas data validation PivotTables conditional formatting collaboration.,true
8,Programming for Everybody (Getting Started with Python),Basics of programming using Python including variables conditional execution loops functions and file handling.,Python,Software Developer,Beginner,Course,18 hours,University of Michigan (Coursera),https://www.coursera.org/learn/python,Job,Foundational Python programming syntax control flow functions data structures and beginner algorithms.,true
9,Python for Everybody Specialization,Full textbook and lecture series covering Python data structures web scraping database access and data visualization.,Python,Data Scientist,Beginner,Course,40 hours,Charles Severance (PY4E),https://www.py4e.com/,Placement,Free interactive book and exercises covering Python basics data structures regular expressions SQLite APIs.,true
10,Automate the Boring Stuff with Python,Practical guide to writing practical Python scripts for web scraping file management spreadsheet automation and tasks.,Python,Software Developer,Beginner,Book,25 hours,Al Sweigart,https://automatetheboringstuff.com/,Job,Practical Python programming focusing on task automation file parsing web scraping regex spreadsheet processing.,true
11,Python Full Course for Beginners,Comprehensive step-by-step video tutorial covering Python variables strings numbers loops functions and modules.,Python,Software Developer,Beginner,Video,4.5 hours,freeCodeCamp,https://www.youtube.com/watch?v=rfscVS0vtbw,Internship,Core syntax of Python data structures error handling file reading writing and basic object-oriented concepts.,true
12,Microsoft Power BI Data Analyst (PL-300) Learning Path,Official learning modules for ingesting transforming modeling visualizing and publishing business intelligence dashboards in Power BI.,Power BI,Data Analyst,Intermediate,Course,30 hours,Microsoft Learn,https://learn.microsoft.com/en-us/credentials/certifications/data-analyst-associate/,Certification,Data preparation modeling DAX expressions report building and workspace deployment for business intelligence.,true
13,Power BI Full Course - Learn Power BI in 4 Hours,In-depth crash course on data extraction Power Query transformations DAX calculations and executive dashboard design.,Power BI,Business Analyst,Beginner,Video,4 hours,Edureka,https://www.youtube.com/watch?v=3u7MQz1EyPY,Placement,Hands-on Power BI training covering Power Query M language calculated columns measures DAX reports.,true
14,Data Visualization with Tableau Specialization,Learn to visualize business data construct interactive stories and publish impactful interactive dashboards.,Tableau,Data Analyst,Intermediate,Course,25 hours,UC Davis (Coursera),https://www.coursera.org/specializations/data-visualization,Job,Designing charts calculating fields building interactive filters creating executive dashboards in Tableau.,true
15,Tableau for Beginners - Full Course,Practical tutorial teaching data connections worksheet creation interactive filters and storytelling dashboards.,Tableau,Data Analyst,Beginner,Video,3 hours,freeCodeCamp,https://www.youtube.com/watch?v=aHaOIvR00So,Internship,Connecting to datasets building charts sorting filtering maps calculations and dashboard layout in Tableau.,true
16,Intro to Statistics,Foundational statistics including descriptive metrics normal distribution hypothesis testing correlation and regression analysis.,Statistics,Data Scientist,Beginner,Course,20 hours,Udacity,https://www.udacity.com/course/intro-to-statistics--st101,Job,Probability distributions confidence intervals hypothesis testing p-values correlation and simple linear regression.,true
17,Statistics and Probability on Khan Academy,Comprehensive curriculum covering summary statistics probability distributions sampling distributions hypothesis tests.,Statistics,Data Analyst,Beginner,Course,30 hours,Khan Academy,https://www.khanacademy.org/math/statistics-probability,Placement,Visual mathematical modules on variance standard deviation central limit theorem z-scores t-tests ANOVA.,true
18,StatQuest with Josh Starmer - Statistics Fundamentals,Clear intuitive step-by-step video explanations of statistical testing p-values histograms distributions and regressions.,Statistics,Machine Learning Engineer,Beginner,Video,15 hours,StatQuest,https://statquest.org/,Job,Intuitive breakdowns of fundamental statistics probability density estimation hypothesis testing and model evaluation.,true
19,Machine Learning Specialization,Learn fundamental ML algorithms supervised learning unsupervised learning neural networks and real-world implementation best practices.,Machine Learning,Machine Learning Engineer,Intermediate,Course,60 hours,Andrew Ng / DeepLearning.AI,https://www.coursera.org/specializations/machine-learning-introduction,Job,Linear regression logistic regression decision trees ensemble models neural networks and recommender systems.,true
20,Practical Deep Learning for Coders,Top-down practical deep learning training computer vision tabular models and NLP using PyTorch and fastai.,Machine Learning,Machine Learning Engineer,Intermediate,Course,45 hours,fast.ai,https://course.fast.ai/,Job,Hands-on deep learning covering convolutional neural networks transformers deployment and data curation.,true
21,Machine Learning Crash Course,Fast-paced practical introduction to ML with TensorFlow covering classification regression loss optimization and embeddings.,Machine Learning,Data Scientist,Intermediate,Course,15 hours,Google Developers,https://developers.google.com/machine-learning/crash-course,Certification,Google ML fundamentals feature engineering gradient descent loss curves neural networks regularization embeddings.,true
22,Data Analysis and Visualization with Python,Create informative plots using Matplotlib Seaborn and Folium to communicate analytical findings clearly.,Data Visualization,Data Analyst,Beginner,Course,18 hours,IBM (Coursera),https://www.coursera.org/learn/data-visualization-python,Placement,Line graphs area plots histograms bar charts pie charts box plots scatter plots and geospatial maps.,true
23,Storytelling with Data: A Data Visualization Guide,Master principles of visual data communication choosing the right visual eliminating clutter and directing audience focus.,Data Visualization,Business Analyst,Beginner,Book,12 hours,Wiley / Cole Nussbaumer,https://www.storytellingwithdata.com/,Job,Practical design principles for business presentations decluttering charts choosing visual encodings storytelling with data.,true
